GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_hvalue,pct_noins,pct_poverty
1400000US06037101110,06037101110,63.5 ,4.4,6.5 ,"51,641 ","4,731 ",68.9 ,1.7 ,10.4 ,19.0 ,"1,734 ",430800,,13.7 
1400000US06037101122,06037101122,63.5 ,3.4,5.0 ,"80,489 ","3,664 ",76.7 ,0.8 ,13.6 ,8.9 ,"1,369 ",530100,,6.3 
1400000US06037101210,06037101210,61.8 ,5.7,8.5 ,"39,433 ","5,990 ",66.8 ,3.6 ,7.7 ,21.9 ,"2,317 ",320700,,26.4 
1400000US06037101220,06037101220,61.6 ,5.8,8.6 ,"45,687 ","3,363 ",67.0 ,1.3 ,8.2 ,23.5 ,"1,317 ",423900,,14.0 
1400000US06037101300,06037101300,57.9 ,4.7,7.5 ,"60,612 ","4,199 ",84.6 ,1.1 ,7.7 ,6.6 ,"1,582 ",536000,,5.1 
1400000US06037101400,06037101400,56.9 ,5.2,8.4 ,"72,188 ","3,903 ",77.3 ,1.3 ,9.0 ,12.4 ,"1,568 ",489800,,12.4 
1400000US06037102103,06037102103,64.8 ,1,1.5 ,"74,868 ","1,740 ",76.8 ,1.3 ,9.8 ,12.1 ,680 ,604900,,4.7 
1400000US06037102104,06037102104,60.0 ,2.1,3.4 ,"85,492 ","3,648 ",76.6 ,2.5 ,13.0 ,7.9 ,"1,326 ",492500,,8.3 
1400000US06037102105,06037102105,52.6 ,10,16.0 ,"51,705 ","1,731 ",60.1 ,0.9 ,8.1 ,30.9 ,560 ,442400,,9.6 
1400000US06037102107,06037102107,47.9 ,6.3,11.7 ,"54,958 ","3,851 ",72.4 ,2.7 ,7.3 ,17.6 ,"1,326 ",595100,,18.4 
1400000US06037103101,06037103101,57.0 ,4.7,7.6 ,"64,792 ","2,670 ",76.1 ,0.9 ,9.3 ,13.7 ,948 ,463500,,11.6 
1400000US06037103102,06037103102,63.1 ,2.7,4.1 ,"65,080 ","4,751 ",69.3 ,0.7 ,12.4 ,17.6 ,"1,708 ",426600,,5.1 
1400000US06037103200,06037103200,51.7 ,7.2,12.2 ,"68,785 ","6,150 ",71.2 ,4.5 ,7.5 ,16.8 ,"2,285 ",492200,,10.3 
1400000US06037103300,06037103300,59.8 ,9.2,13.4 ,"95,305 ","3,819 ",81.6 ,1.0 ,5.9 ,11.5 ,"1,400 ",771800,,7.6 
1400000US06037103400,06037103400,54.4 ,4.7,7.9 ,"53,750 ","6,143 ",75.1 ,1.6 ,8.2 ,15.1 ,"2,484 ",404700,,12.6 
1400000US06037104103,06037104103,59.2 ,6.4,9.7 ,"88,167 ","4,085 ",37.6 ,12.9 ,7.1 ,42.4 ,842 ,412500,,5.2 
1400000US06037104105,06037104105,58.5 ,9.1,13.5 ,"39,531 ","5,412 ",44.3 ,6.8 ,5.8 ,43.1 ,"1,456 ",256200,,29.2 
1400000US06037104108,06037104108,57.9 ,5.6,8.8 ,"40,893 ","5,256 ",38.1 ,11.9 ,3.5 ,46.5 ,"1,346 ",421900,,26.9 
1400000US06037104124,06037104124,67.7 ,4.6,6.3 ,"75,179 ","4,175 ",52.6 ,14.2 ,5.5 ,27.7 ,"1,215 ",424000,,9.9 
1400000US06037104201,06037104201,61.0 ,7.9,11.5 ,"42,143 ","4,780 ",38.5 ,8.6 ,0.4 ,52.5 ,885 ,340300,,23.6 
1400000US06037104203,06037104203,56.6 ,4.3,7.0 ,"36,750 ","5,210 ",39.9 ,6.3 ,1.3 ,52.5 ,"1,158 ",354900,,32.2 
1400000US06037104204,06037104204,54.3 ,6.6,10.8 ,"46,923 ","3,375 ",52.9 ,8.7 ,8.1 ,30.3 ,753 ,97200,,12.2 
1400000US06037104310,06037104310,55.0 ,2.5,4.3 ,"58,634 ","4,921 ",46.4 ,4.3 ,0.2 ,49.1 ,931 ,369700,,17.9 
1400000US06037104320,06037104320,62.5 ,7.6,10.8 ,"47,842 ","5,998 ",42.8 ,6.3 ,1.4 ,49.5 ,"1,359 ",381700,,18.4 
1400000US06037104401,06037104401,53.7 ,6.6,11.0 ,"56,406 ","3,357 ",41.2 ,0.3 ,0.6 ,57.9 ,725 ,401500,,23.5 
1400000US06037104403,06037104403,62.8 ,6.5,9.3 ,"60,260 ","3,282 ",44.2 ,0.5 ,1.0 ,54.3 ,717 ,304800,,27.9 
1400000US06037104404,06037104404,50.3 ,6.2,10.9 ,"35,982 ","3,236 ",41.2 ,1.4 ,0.7 ,56.7 ,694 ,413200,,25.4 
1400000US06037104500,06037104500,61.8 ,7.3,10.5 ,"45,370 ","3,293 ",48.2 ,0.7 ,0.8 ,50.3 ,748 ,372300,,17.0 
1400000US06037104610,06037104610,47.4 ,9.6,16.9 ,"38,125 ","3,672 ",44.2 ,0.8 ,0.5 ,54.5 ,785 ,394800,,29.7 
1400000US06037104620,06037104620,52.7 ,7.5,12.5 ,"40,500 ","3,539 ",44.2 ,0.9 ,0.3 ,54.6 ,796 ,366400,,17.4 
1400000US06037104701,06037104701,46.2 ,8.6,15.7 ,"29,597 ","4,208 ",42.8 ,3.9 ,0.5 ,52.8 ,931 ,395100,,34.1 
1400000US06037104703,06037104703,64.4 ,8.7,11.9 ,"45,167 ","2,397 ",48.1 ,2.3 ,0.3 ,49.3 ,584 ,255600,,25.4 
1400000US06037104704,06037104704,60.8 ,11.9,16.3 ,"47,099 ","4,219 ",41.0 ,13.8 ,3.5 ,41.7 ,"1,159 ",267000,,12.9 
1400000US06037104810,06037104810,61.6 ,5.7,8.4 ,"47,065 ","5,328 ",45.0 ,0.7 ,2.0 ,52.3 ,"1,132 ",391900,,20.9 
1400000US06037104821,06037104821,54.2 ,10.4,16.1 ,"44,957 ","3,514 ",50.8 ,1.5 ,1.8 ,45.9 ,834 ,389700,,24.2 
1400000US06037104822,06037104822,56.7 ,5,8.1 ,"31,325 ","2,277 ",39.2 ,1.2 ,7.2 ,52.4 ,614 ,291700,,26.2 
1400000US06037106010,06037106010,63.4 ,4.1,6.1 ,"93,108 ","3,152 ",52.9 ,5.8 ,5.9 ,35.4 ,962 ,501600,,4.5 
1400000US06037106020,06037106020,63.9 ,5.4,7.8 ,"81,797 ","5,557 ",57.4 ,2.8 ,3.6 ,36.2 ,"1,433 ",482400,,8.1 
1400000US06037106111,06037106111,62.4 ,4.8,7.2 ,"80,536 ","4,334 ",56.5 ,5.1 ,7.5 ,30.9 ,"1,345 ",369100,,6.3 
1400000US06037106112,06037106112,64.6 ,2.1,3.2 ,"86,875 ","5,969 ",49.7 ,4.1 ,9.4 ,36.8 ,"1,501 ",441900,,7.3 
1400000US06037106113,06037106113,61.9 ,4.1,6.2 ,"60,125 ","3,493 ",54.1 ,2.8 ,4.5 ,38.6 ,884 ,403600,,5.8 
1400000US06037106114,06037106114,60.9 ,7.9,11.5 ,"47,819 ","5,880 ",46.6 ,4.1 ,2.4 ,46.9 ,"1,622 ",332500,,20.0 
1400000US06037106403,06037106403,50.4 ,4,7.4 ,"57,171 ","3,825 ",52.6 ,1.5 ,1.5 ,44.4 ,863 ,374100,,8.2 
1400000US06037106405,06037106405,60.8 ,3.8,5.9 ,"56,032 ","3,966 ",47.7 ,6.1 ,3.4 ,42.8 ,"1,174 ",355800,,10.1 
1400000US06037106406,06037106406,66.4 ,4.1,5.8 ,"73,705 ","4,962 ",55.3 ,3.4 ,6.4 ,34.9 ,"1,670 ",400800,,9.2 
1400000US06037106407,06037106407,46.5 ,6,11.5 ,"33,869 ","2,933 ",50.9 ,7.4 ,2.6 ,39.1 ,872 ,272500,,19.1 
1400000US06037106408,06037106408,63.7 ,6,8.6 ,"43,409 ","3,463 ",47.7 ,4.0 ,4.3 ,44.0 ,996 ,300000,,18.7 
1400000US06037106510,06037106510,61.9 ,5.5,8.2 ,"72,950 ","5,108 ",47.4 ,7.1 ,7.7 ,37.8 ,"1,538 ",529000,,2.2 
1400000US06037106520,06037106520,61.5 ,6.2,9.1 ,"52,574 ","5,837 ",52.7 ,1.4 ,1.4 ,44.5 ,"1,463 ",283200,,15.3 
1400000US06037106603,06037106603,65.3 ,2.7,4.0 ,"110,395 ","2,979 ",65.3 ,3.3 ,20.1 ,11.3 ,992 ,665500,,1.2 
1400000US06037106604,06037106604,59.4 ,8.2,12.1 ,"46,635 ","5,020 ",50.1 ,2.4 ,3.7 ,43.8 ,"1,265 ",477300,,12.7 
1400000US06037106641,06037106641,59.3 ,6.4,9.8 ,"102,875 ","2,317 ",73.5 ,2.5 ,16.2 ,7.8 ,787 ,651500,,0.7 
1400000US06037106642,06037106642,55.8 ,9.3,14.2 ,"75,919 ","3,236 ",73.2 ,3.6 ,13.0 ,10.2 ,"1,095 ",620700,,13.5 
