GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_value,pct_noins,pct_poverty,city,metro,med_rent
1400000US06037101110,6037101110,55.7,4.7,7.7,53077,4314,76.8,1.1,7.6,14.5,150,458.7,13.2,16.1,,,1609
1400000US06037101122,6037101122,69.1,3.3,4.6,88953,3239,87.6,1.9,6.4,4.2,100,608.4,6.8,3.4,,,2120
1400000US06037101210,6037101210,58.8,6.6,10.1,32119,6052,78.8,2.8,4.3,14,100,374.3,10.6,33,,,1318
1400000US06037101220,6037101220,54.6,4.6,7.8,41728,3497,71.3,2,8.6,18,100,414.8,10.4,15,,,1198
1400000US06037101300,6037101300,53.8,3.2,5.7,86914,4297,86.2,3.7,6.7,3.3,150,586,7.4,9.2,,,2435
1400000US06037101400,6037101400,57.7,4.6,7.3,71125,3851,78.5,0.5,9,12,150,560,5.4,8.4,,,1151
1400000US06037102103,6037102103,54.2,5.5,9.2,76333,1771,86,0,6.4,7.6,90,591.7,9.7,8.8,,,2111
1400000US06037102104,6037102104,52,6,10.4,70754,3554,76.5,3.3,12.5,7.7,90,548.9,5.6,12.7,,,2063
1400000US06037102105,6037102105,67.1,6.3,8.6,52132,1857,63.5,2.2,6.3,28,70,463.9,9.7,17.3,,,1455
1400000US06037102107,6037102107,58.5,3.7,5.9,106037,4333,78.5,2.6,9.1,9.8,100,625.6,1.4,7.9,,,1125
1400000US06037103101,6037103101,60.3,4.2,6.6,89211,2597,84.8,0.5,6.6,8.2,150,509.6,4,7,,,2016
1400000US06037103102,6037103102,61.6,4.3,6.6,74631,4456,72.7,0,16.9,10.4,150,447.5,10.3,5.5,,,1583
1400000US06037103200,6037103200,53.3,1.5,2.8,71346,6726,87.7,1.3,6.3,4.6,100,539.8,7.3,15.1,,,1141
1400000US06037103300,6037103300,60.2,2.2,3.6,93207,3549,85,1.2,8.7,5.1,100,690.3,4.6,4.9,,,2111
1400000US06037103400,6037103400,58.6,2.4,4,81618,6662,75.3,2.3,13,9.5,150,513,5,14,,,1631
1400000US06037104103,6037104103,62,1,1.6,86989,3647,63.8,13.8,7.3,15.2,90,429.2,6.6,7.7,,,1992
1400000US06037104105,6037104105,51,5.4,9.6,52616,6190,53.3,5,9.8,31.9,100,329,14.7,22.6,,,779
1400000US06037104108,6037104108,61.3,5.5,8.3,50259,5420,58.3,9.5,3.2,29,100,366.9,7.6,15.8,,,1331
1400000US06037104124,6037104124,55.4,2.9,5,84250,4189,61.6,9.2,8.4,20.7,90,383.8,11.1,8.2,,,1363
1400000US06037104201,6037104201,54.5,3.6,6.2,51563,4424,58,9.6,0,32.5,100,400.9,17.5,24.7,,,1625
1400000US06037104203,6037104203,59.9,5.8,8.8,46406,5541,55.4,8.1,0.9,35.6,90,368.7,16.5,25.1,,,1439
1400000US06037104204,6037104204,51.5,4.3,7.7,63333,3562,62.6,4.6,5.8,27,100,359,11.8,15.6,,,1320
1400000US06037104310,6037104310,66.2,3.7,5.2,69904,5313,53.2,2.1,0.3,44.4,100,388.8,19.2,12.8,,,2290
1400000US06037104320,6037104320,55.2,8.1,12.7,52895,5599,62.1,3.7,1.1,33.1,80,372.5,15.6,23.8,,,1096
1400000US06037104401,6037104401,59.4,5,7.7,69965,3452,57.2,0,0.8,42,90,396.6,18.1,19.9,,,1700
1400000US06037104403,6037104403,57,5.3,8.5,55398,3279,55.3,0,2.9,41.8,80,357.8,14.3,20,,,1549
1400000US06037104404,6037104404,57.5,3.4,5.5,55341,3128,54.4,4.2,2,39.5,90,396.3,16.6,26.1,,,1399
1400000US06037104500,6037104500,60.6,2.1,3.3,60139,2950,46.3,0,0.2,53.5,80,399.7,12,23.1,,,1447
1400000US06037104610,6037104610,60.3,3.3,5.2,60320,3504,50.2,0,0,49.8,100,408.3,17.4,16.9,,,1416
1400000US06037104620,6037104620,60.1,3.5,5.5,62014,3684,54.1,0.7,0.4,44.7,80,395.7,13,9.3,,,1658
1400000US06037104701,6037104701,52.6,7.5,12.4,32036,4325,61.5,3.9,0,34.6,100,395.8,10.9,33.5,,,1099
1400000US06037104703,6037104703,62.2,4.9,7.3,39181,2311,64.9,5.9,0,29.2,70,298,14,31.2,,,1329
1400000US06037104704,6037104704,57.7,3.2,5.3,48581,4331,49.7,13.8,7.8,28.8,90,223,11.8,25.2,,,1395
1400000US06037104810,6037104810,64.8,3.1,4.6,74145,5789,65.9,0.2,1.1,32.9,70,364.2,17.9,14.9,,,1700
1400000US06037104821,6037104821,64.6,5.8,8.2,68750,3361,56.6,1.9,4.5,37,90,386.2,16.4,20.2,,,1438
1400000US06037104822,6037104822,62.1,3.3,5,55500,2748,63.3,1.2,4.5,31,80,423.2,17.8,20.6,,,1557
1400000US06037106010,6037106010,62.2,3.1,4.7,71806,3108,76.2,2.7,3.8,17.3,150,487.8,11.4,17,,,2028
1400000US06037106020,6037106020,59.7,3.7,5.8,75038,5807,82.8,1.1,0.8,15.3,100,466.5,16.4,13.6,,,1913
1400000US06037106111,6037106111,64,3.2,4.8,93198,4482,61.5,5.1,9,24.3,100,454.5,7.6,7.7,,,2528
1400000US06037106112,6037106112,61.8,2.5,3.8,90875,5885,70.6,1.5,7.4,20.4,100,454.8,5.7,6.9,,,1885
1400000US06037106113,6037106113,57.3,2.4,4.1,85156,3962,72.5,4.9,9.1,13.5,100,448.8,10.6,4.9,,,1787
1400000US06037106114,6037106114,60.3,4.8,7.4,54363,6410,73.8,4.5,4,17.7,150,339.4,11.3,16.7,,,1355
1400000US06037106403,6037106403,60.6,3.1,4.8,62015,3431,81.5,0.5,0.4,17.6,100,421,12.4,5.1,,,2038
1400000US06037106405,6037106405,51.2,4.1,7.3,57807,4813,73.2,5.8,1.7,19.3,80,349.5,8.2,31.5,,,1316
1400000US06037106406,6037106406,62.8,2,3.1,77454,5860,73.9,2.9,5.3,17.9,100,381.4,8.7,5.5,,,1718
1400000US06037106407,6037106407,56.4,3.2,5.3,37452,3272,77,9.9,3.7,9.4,100,241.5,8.3,23.8,,,1548
